"filename", "language", "C#", "comment", "blank", "total"
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\AdminPanel.cs", "C#", 147, 4, 26, 177
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\Confirmbuy.cs", "C#", 12, 12, 7, 31
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\ConnectionBox.cs", "C#", 36, 11, 12, 59
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\Connections.cs", "C#", 15, 9, 6, 30
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\CurrentUser.cs", "C#", 23, 0, 6, 29
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\HistoriqueList.cs", "C#", 12, 9, 5, 26
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\ItemList.cs", "C#", 25, 9, 8, 42
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\ModifierItem.cs", "C#", 42, 9, 15, 66
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\ModifierUtilisateur.cs", "C#", 44, 9, 10, 63
"d:\Windows.old.000\Users\Pierre\Desktop\THE FOLDER OF EVERYTHING\TECH\GODOT 3.0\Fridge Tester\UI cs Code\UtilisateurMenu.cs", "C#", 25, 9, 4, 38
"Total", "-", 381, 81, 99, 561